"Status","MainJsExists","ViteConfigExists","Project","HasVue3","HasPinia","PackageJsonExists","HasVite"
"Migrated","True","True","01 - Your First Vue Application\todo","True","False","True","True"
"Not Migrated","True","True","03 - HTML Primer\htmlcssprimer","False","False","True","False"
"Not Migrated","True","True","04 - JavaScript Primer\jsprimer","False","False","True","False"
"Migrated","True","True","05 - SportsStore\sportsstore","True","True","True","True"
"Not Migrated","True","True","06 - SportsStore - Checkout and Orders\sportsstore","False","False","True","False"
"Not Migrated","True","True","07 - SportsStore - Scaling and Administration\sportsstore","False","False","True","False"
"Not Migrated","True","True","08 - SportsStore - Administration and Deployment\sportsstore","False","False","True","False"
"Migrated","True","True","09 - Understanding Vue.js\nomagic","True","False","True","True"
"Not Migrated","True","True","10 - Understanding Vue.js Projects\projecttools","False","False","True","False"
"Not Migrated","True","True","11 - Understanding Data Bindings\templatesanddata","False","False","True","False"
"Not Migrated","True","True","12 - Using the Basic Directives\templatesanddata","False","False","True","False"
"Not Migrated","True","True","13 - Using the Repeater Directive\templatesanddata","False","False","True","False"
"Not Migrated","True","True","14 - Handling Events\templatesanddata","False","False","True","False"
"Not Migrated","True","True","15 - Working with Form Elements\templatesanddata","False","False","True","False"
"Not Migrated","True","True","16 - Components\templatesanddata","False","False","True","False"
"Not Migrated","True","True","17 - Understanding the Component Lifecycle\lifecycles","False","False","True","False"
"Not Migrated","True","True","18 - Loosely-Coupled Components\productapp","False","False","True","False"
"Not Migrated","True","True","19 - Using RESTful Web Services\productapp","False","False","True","False"
"Migrated","True","True","20 - Using a Data Store\productapp","True","True","True","True"
"Not Migrated","True","True","21 - Dynamic Components\productapp","False","False","True","False"
"Migrated","True","True","22 - URL Routing\productapp","True","True","True","True"
"Not Migrated","True","True","23 - URL Routing Elements\productapp","False","False","True","False"
"Not Migrated","True","True","24 - Advanced URL Routing\productapp","False","False","True","False"
"Not Migrated","True","True","25 - Transitions\transitions","False","False","True","False"
"Not Migrated","True","True","26 - Extending Vue.js\extendingvue","False","False","True","False"
